Timestamp,Container,CPU,Memory Usage
2024-07-01 12:20:17,docker_minion_1,0.24,26.37
2024-07-01 12:20:17,docker_controller_1,0.44,26.18
2024-07-01 12:20:17,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:20:17,docker_postgres_1,0.05,35.89
2024-07-01 12:20:17,docker_cache_1,71.01,1009.00
2024-07-01 12:20:30,docker_detector_1,722.84,985.00
2024-07-01 12:20:30,docker_combiner_1,0.30,57.10
2024-07-01 12:20:30,docker_extractor_1,0.59,79.30
2024-07-01 12:20:30,docker_minion_1,0.22,26.37
2024-07-01 12:20:30,docker_controller_1,0.39,26.18
2024-07-01 12:20:30,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:20:30,docker_postgres_1,0.00,35.89
2024-07-01 12:20:30,docker_cache_1,72.28,1003.00
2024-07-01 12:20:42,docker_detector_1,27.85,1024.00
2024-07-01 12:20:42,docker_combiner_1,0.21,69.82
2024-07-01 12:20:42,docker_extractor_1,0.33,79.31
2024-07-01 12:20:42,docker_minion_1,0.19,26.38
2024-07-01 12:20:42,docker_controller_1,0.32,26.19
2024-07-01 12:20:42,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:20:42,docker_postgres_1,3.06,35.89
2024-07-01 12:20:42,docker_cache_1,0.30,1002.00
2024-07-01 12:20:55,docker_detector_1,790.32,984.90
2024-07-01 12:20:55,docker_combiner_1,0.41,69.82
2024-07-01 12:20:55,docker_extractor_1,0.56,79.31
2024-07-01 12:20:55,docker_minion_1,0.24,26.38
2024-07-01 12:20:55,docker_controller_1,0.41,26.19
2024-07-01 12:20:55,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:20:55,docker_postgres_1,0.00,35.89
2024-07-01 12:20:55,docker_cache_1,0.35,1002.00
2024-07-01 12:21:08,docker_detector_1,723.62,984.90
2024-07-01 12:21:08,docker_combiner_1,0.32,69.82
2024-07-01 12:21:08,docker_extractor_1,0.49,79.31
2024-07-01 12:21:08,docker_minion_1,0.25,26.38
2024-07-01 12:21:08,docker_controller_1,0.36,26.18
2024-07-01 12:21:08,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:21:08,docker_postgres_1,0.04,35.89
2024-07-01 12:21:08,docker_cache_1,71.61,997.30
2024-07-01 12:21:20,docker_detector_1,451.02,985.00
2024-07-01 12:21:20,docker_combiner_1,0.21,69.82
2024-07-01 12:21:20,docker_extractor_1,0.32,84.13
2024-07-01 12:21:20,docker_minion_1,0.28,26.38
2024-07-01 12:21:20,docker_controller_1,0.34,26.20
2024-07-01 12:21:20,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:20,docker_postgres_1,0.03,35.89
2024-07-01 12:21:20,docker_cache_1,0.28,999.50
2024-07-01 12:21:33,docker_detector_1,701.90,1.03
2024-07-01 12:21:33,docker_combiner_1,0.27,69.82
2024-07-01 12:21:33,docker_extractor_1,0.49,84.13
2024-07-01 12:21:33,docker_minion_1,0.23,26.38
2024-07-01 12:21:33,docker_controller_1,0.36,26.20
2024-07-01 12:21:33,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:21:33,docker_postgres_1,0.00,35.89
2024-07-01 12:21:33,docker_cache_1,0.37,985.00
2024-07-01 12:21:46,docker_detector_1,723.69,1015.00
2024-07-01 12:21:46,docker_combiner_1,0.34,69.83
2024-07-01 12:21:46,docker_extractor_1,0.48,79.32
2024-07-01 12:21:46,docker_minion_1,0.29,26.40
2024-07-01 12:21:46,docker_controller_1,0.38,26.21
2024-07-01 12:21:46,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:46,docker_postgres_1,0.03,35.89
2024-07-01 12:21:46,docker_cache_1,71.29,994.00
2024-07-01 12:21:59,docker_detector_1,716.61,1015.00
2024-07-01 12:21:59,docker_combiner_1,0.26,69.83
2024-07-01 12:21:59,docker_extractor_1,0.73,79.32
2024-07-01 12:21:59,docker_minion_1,0.20,26.40
2024-07-01 12:21:59,docker_controller_1,0.33,26.21
2024-07-01 12:21:59,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:59,docker_postgres_1,0.00,35.89
2024-07-01 12:21:59,docker_cache_1,70.46,1006.00
2024-07-01 12:22:11,docker_detector_1,228.36,1015.00
2024-07-01 12:22:11,docker_combiner_1,70.65,105.50
2024-07-01 12:22:11,docker_extractor_1,0.34,79.32
2024-07-01 12:22:11,docker_minion_1,5.13,26.40
2024-07-01 12:22:11,docker_controller_1,0.52,26.21
2024-07-01 12:22:11,docker_pgbouncer_1,1.93,1.33
2024-07-01 12:22:11,docker_postgres_1,1.56,35.89
2024-07-01 12:22:11,docker_cache_1,0.81,984.60
2024-07-01 12:22:24,docker_detector_1,719.51,1.05
2024-07-01 12:22:24,docker_combiner_1,0.33,62.01
2024-07-01 12:22:24,docker_extractor_1,0.60,84.17
2024-07-01 12:22:24,docker_minion_1,0.23,26.40
2024-07-01 12:22:24,docker_controller_1,0.47,26.21
2024-07-01 12:22:24,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:22:24,docker_postgres_1,0.02,35.89
2024-07-01 12:22:24,docker_cache_1,91.89,1008.00
2024-07-01 12:22:37,docker_detector_1,712.85,1020.00
2024-07-01 12:22:37,docker_combiner_1,0.23,62.01
2024-07-01 12:22:37,docker_extractor_1,0.62,84.17
2024-07-01 12:22:37,docker_minion_1,0.23,26.40
2024-07-01 12:22:37,docker_controller_1,0.48,26.21
2024-07-01 12:22:37,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:22:37,docker_postgres_1,0.00,35.90
2024-07-01 12:22:37,docker_cache_1,69.23,1002.00
2024-07-01 12:22:49,docker_detector_1,54.47,1020.00
2024-07-01 12:22:49,docker_combiner_1,0.23,59.57
2024-07-01 12:22:49,docker_extractor_1,0.43,79.34
2024-07-01 12:22:49,docker_minion_1,0.23,26.42
2024-07-01 12:22:49,docker_controller_1,0.36,26.22
2024-07-01 12:22:49,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:22:49,docker_postgres_1,0.00,35.90
2024-07-01 12:22:49,docker_cache_1,0.31,999.50
2024-07-01 12:23:02,docker_detector_1,606.80,1.00
2024-07-01 12:23:02,docker_combiner_1,0.29,59.57
2024-07-01 12:23:02,docker_extractor_1,0.49,79.34
2024-07-01 12:23:02,docker_minion_1,0.21,26.42
2024-07-01 12:23:02,docker_controller_1,0.40,26.22
2024-07-01 12:23:02,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:23:02,docker_postgres_1,0.01,35.89
2024-07-01 12:23:02,docker_cache_1,0.38,999.70
2024-07-01 12:23:15,docker_detector_1,721.05,998.30
2024-07-01 12:23:15,docker_combiner_1,0.33,59.57
2024-07-01 12:23:15,docker_extractor_1,0.48,79.34
2024-07-01 12:23:15,docker_minion_1,0.28,26.42
2024-07-01 12:23:15,docker_controller_1,0.40,26.21
2024-07-01 12:23:15,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:23:15,docker_postgres_1,0.00,35.90
2024-07-01 12:23:15,docker_cache_1,71.14,997.70
2024-07-01 12:23:27,docker_detector_1,712.19,998.30
2024-07-01 12:23:27,docker_combiner_1,0.34,69.84
2024-07-01 12:23:27,docker_extractor_1,0.43,79.35
2024-07-01 12:23:27,docker_minion_1,0.17,26.43
2024-07-01 12:23:27,docker_controller_1,0.38,26.22
2024-07-01 12:23:27,docker_pgbouncer_1,0.04,1.34
2024-07-01 12:23:27,docker_postgres_1,0.03,35.89
2024-07-01 12:23:27,docker_cache_1,0.29,997.30
2024-07-01 12:23:40,docker_detector_1,473.80,1015.00
2024-07-01 12:23:40,docker_combiner_1,0.28,69.84
2024-07-01 12:23:40,docker_extractor_1,0.45,79.35
2024-07-01 12:23:40,docker_minion_1,0.18,26.43
2024-07-01 12:23:40,docker_controller_1,0.35,26.22
2024-07-01 12:23:40,docker_pgbouncer_1,0.03,1.34
2024-07-01 12:23:40,docker_postgres_1,0.00,35.89
2024-07-01 12:23:40,docker_cache_1,0.38,982.80
2024-07-01 12:23:53,docker_detector_1,718.88,1015.00
2024-07-01 12:23:53,docker_combiner_1,0.28,69.84
2024-07-01 12:23:53,docker_extractor_1,0.49,95.17
2024-07-01 12:23:53,docker_minion_1,0.22,26.45
