Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.36%,0.17%,4.02MB / 743MB
shirine_detector_1,701.23%,1.42%,747MB / 752MB
shirine_combiner_1,0.22%,0.11%,753MB / 754MB
shirine_extractor_1,0.23%,0.17%,4.04MB / 756MB
shirine_detector_1,800.48%,1.23%,760MB / 765MB
shirine_combiner_1,9.78%,0.10%,769MB / 769MB
shirine_extractor_1,0.32%,0.17%,4.06MB / 769MB
shirine_detector_1,466.54%,1.21%,774MB / 778MB
shirine_combiner_1,11.39%,0.10%,781MB / 781MB
shirine_extractor_1,0.32%,0.17%,4.08MB / 787MB
shirine_detector_1,706.41%,1.19%,791MB / 797MB
shirine_combiner_1,0.23%,0.10%,799MB / 799MB
shirine_extractor_1,0.44%,0.17%,4.1MB / 802MB
shirine_detector_1,797.67%,1.22%,807MB / 812MB
shirine_combiner_1,0.22%,0.11%,819MB / 819MB
shirine_extractor_1,0.30%,0.17%,4.13MB / 820MB
shirine_detector_1,795.26%,1.24%,825MB / 831MB
shirine_combiner_1,12.18%,0.09%,833MB / 834MB
shirine_extractor_1,0.30%,0.17%,4.15MB / 837MB
shirine_detector_1,429.75%,1.21%,842MB / 848MB
shirine_combiner_1,0.26%,0.11%,850MB / 850MB
shirine_extractor_1,0.32%,0.17%,4.18MB / 855MB
shirine_detector_1,795.63%,1.17%,860MB / 866MB
shirine_combiner_1,0.27%,0.09%,868MB / 869MB
shirine_extractor_1,4.74%,0.17%,4.2MB / 870MB
shirine_detector_1,797.90%,1.16%,874MB / 881MB
shirine_combiner_1,0.31%,0.11%,883MB / 883MB
shirine_extractor_1,0.32%,0.17%,4.22MB / 883MB
shirine_detector_1,580.45%,1.17%,888MB / 895MB
shirine_combiner_1,0.27%,0.11%,896MB / 897MB
shirine_extractor_1,0.36%,0.17%,4.24MB / 899MB
shirine_detector_1,744.40%,1.16%,904MB / 911MB
shirine_combiner_1,0.28%,0.11%,913MB / 913MB
shirine_extractor_1,4.82%,0.17%,4.26MB / 913MB
shirine_detector_1,795.81%,1.26%,917MB / 924MB
shirine_combiner_1,0.29%,0.11%,926MB / 926MB
shirine_extractor_1,0.26%,0.17%,4.27MB / 923MB
shirine_detector_1,710.45%,1.25%,928MB / 935MB
shirine_combiner_1,0.17%,0.11%,939MB / 939MB
shirine_extractor_1,0.31%,0.17%,4.29MB / 939MB
