Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_combiner_1,0.00%,77.09MiB,955MB / 837MB
shirine_extractor_1,6.81%,89.94MiB,4.48MB / 962MB
shirine_detector_1,794.80%,700.28MiB,966MB / 975MB
shirine_combiner_1,0.00%,77.09MiB,977MB / 856MB
shirine_extractor_1,0.19%,96.37MiB,4.5MB / 976MB
shirine_detector_1,450.20%,629.61MiB,984MB / 993MB
shirine_combiner_1,0.00%,77.09MiB,995MB / 871MB
shirine_extractor_1,0.15%,96.37MiB,4.53MB / 993MB
shirine_detector_1,731.53%,623.18MiB,997MB / 1.01GB
shirine_combiner_1,12.77%,70.67MiB,1.01GB / 883MB
shirine_extractor_1,0.20%,96.37MiB,4.55MB / 1.01GB
shirine_detector_1,725.11%,655.31MiB,1.02GB / 1.03GB
shirine_combiner_1,0.00%,77.09MiB,1.03GB / 897MB
shirine_extractor_1,6.30%,96.37MiB,4.58MB / 1.03GB
shirine_detector_1,794.59%,636.03MiB,1.03GB / 1.04GB
shirine_combiner_1,0.00%,70.67MiB,1.04GB / 913MB
shirine_extractor_1,6.49%,96.37MiB,4.59MB / 1.04GB
shirine_detector_1,775.15%,751.68MiB,1.04GB / 1.05GB
shirine_combiner_1,0.00%,77.09MiB,1.06GB / 926MB
shirine_extractor_1,0.17%,96.37MiB,4.62MB / 1.06GB
shirine_detector_1,722.34%,623.18MiB,1.06GB / 1.07GB
shirine_combiner_1,0.00%,70.67MiB,1.07GB / 937MB
shirine_extractor_1,0.18%,96.37MiB,4.64MB / 1.07GB
shirine_detector_1,798.12%,732.40MiB,1.08GB / 1.09GB
shirine_combiner_1,0.00%,70.67MiB,1.09GB / 952MB
shirine_extractor_1,0.15%,96.37MiB,4.66MB / 1.08GB
shirine_detector_1,797.98%,713.13MiB,1.09GB / 1.1GB
shirine_combiner_1,0.00%,64.25MiB,1.1GB / 966MB
shirine_extractor_1,0.16%,96.37MiB,4.69MB / 1.1GB
shirine_detector_1,725.49%,623.18MiB,1.11GB / 1.12GB
shirine_combiner_1,0.00%,77.09MiB,1.12GB / 979MB
shirine_extractor_1,0.17%,96.37MiB,4.72MB / 1.12GB
shirine_detector_1,458.29%,693.85MiB,1.13GB / 1.14GB
shirine_combiner_1,0.00%,70.67MiB,1.14GB / 992MB
shirine_extractor_1,0.25%,96.37MiB,4.74MB / 1.13GB
shirine_detector_1,798.67%,693.85MiB,1.14GB / 1.15GB
shirine_combiner_1,13.35%,70.67MiB,1.15GB / 1.01GB
shirine_extractor_1,0.14%,96.37MiB,4.76MB / 1.15GB
shirine_detector_1,381.64%,636.03MiB,1.16GB / 1.17GB
shirine_combiner_1,0.00%,64.25MiB,1.17GB / 1.02GB
shirine_extractor_1,0.25%,96.37MiB,4.79MB / 1.17GB
shirine_detector_1,680.70%,674.58MiB,1.17GB / 1.19GB
shirine_combiner_1,0.00%,77.09MiB,1.19GB / 1.04GB
shirine_extractor_1,0.17%,96.37MiB,4.81MB / 1.18GB
shirine_detector_1,794.81%,674.58MiB,1.19GB / 1.2GB
shirine_combiner_1,0.02%,70.67MiB,1.2GB / 1.05GB
shirine_extractor_1,0.14%,77.09MiB,4.82MB / 1.19GB
shirine_detector_1,0.00%,623.18MiB,1.19GB / 1.2GB
shirine_combiner_1,99.61%,77.09MiB,1.93GB / 1.05GB
shirine_extractor_1,0.12%,77.09MiB,4.82MB / 1.19GB
shirine_detector_1,0.00%,623.18MiB,1.19GB / 1.2GB
shirine_combiner_1,0.00%,70.67MiB,2.25GB / 1.08GB
shirine_extractor_1,0.06%,77.09MiB,4.82MB / 1.19GB
shirine_detector_1,0.00%,623.18MiB,1.19GB / 1.2GB
shirine_combiner_1,0.00%,70.67MiB,2.25GB / 1.08GB
