Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.19%,0.15%,4.31MB / 847MB
shirine_detector_1,471.15%,1.00%,854MB / 861MB
shirine_combiner_1,0.00%,0.12%,863MB / 759MB
shirine_extractor_1,0.19%,0.14%,4.34MB / 865MB
shirine_detector_1,727.37%,0.98%,869MB / 876MB
shirine_combiner_1,0.00%,0.11%,878MB / 772MB
shirine_extractor_1,0.20%,0.15%,4.36MB / 882MB
shirine_detector_1,440.15%,1.02%,886MB / 893MB
shirine_combiner_1,13.80%,0.10%,896MB / 787MB
shirine_extractor_1,0.20%,0.15%,4.39MB / 898MB
shirine_detector_1,465.84%,0.98%,906MB / 914MB
shirine_combiner_1,0.00%,0.11%,916MB / 805MB
shirine_extractor_1,0.18%,0.15%,4.42MB / 917MB
shirine_detector_1,795.83%,0.99%,923MB / 930MB
shirine_combiner_1,17.47%,0.11%,938MB / 819MB
shirine_extractor_1,0.14%,0.15%,4.45MB / 939MB
shirine_detector_1,351.88%,0.99%,944MB / 952MB
shirine_combiner_1,0.00%,0.12%,955MB / 837MB
shirine_extractor_1,6.81%,0.14%,4.48MB / 962MB
shirine_detector_1,794.80%,1.09%,966MB / 975MB
shirine_combiner_1,0.00%,0.12%,977MB / 856MB
shirine_extractor_1,0.19%,0.15%,4.5MB / 976MB
shirine_detector_1,450.20%,0.98%,984MB / 993MB
shirine_combiner_1,0.00%,0.12%,995MB / 871MB
shirine_extractor_1,0.15%,0.15%,4.53MB / 993MB
shirine_detector_1,731.53%,0.97%,997MB / 1.01GB
shirine_combiner_1,12.77%,0.11%,1.01GB / 883MB
shirine_extractor_1,0.20%,0.15%,4.55MB / 1.01GB
shirine_detector_1,725.11%,1.02%,1.02GB / 1.03GB
shirine_combiner_1,0.00%,0.12%,1.03GB / 897MB
shirine_extractor_1,6.30%,0.15%,4.58MB / 1.03GB
shirine_detector_1,794.59%,0.99%,1.03GB / 1.04GB
shirine_combiner_1,0.00%,0.11%,1.04GB / 913MB
shirine_extractor_1,6.49%,0.15%,4.59MB / 1.04GB
shirine_detector_1,775.15%,1.17%,1.04GB / 1.05GB
shirine_combiner_1,0.00%,0.12%,1.06GB / 926MB
shirine_extractor_1,0.17%,0.15%,4.62MB / 1.06GB
shirine_detector_1,722.34%,0.97%,1.06GB / 1.07GB
shirine_combiner_1,0.00%,0.11%,1.07GB / 937MB
shirine_extractor_1,0.18%,0.15%,4.64MB / 1.07GB
shirine_detector_1,798.12%,1.14%,1.08GB / 1.09GB
shirine_combiner_1,0.00%,0.11%,1.09GB / 952MB
shirine_extractor_1,0.15%,0.15%,4.66MB / 1.08GB
shirine_detector_1,797.98%,1.11%,1.09GB / 1.1GB
shirine_combiner_1,0.00%,0.10%,1.1GB / 966MB
shirine_extractor_1,0.16%,0.15%,4.69MB / 1.1GB
shirine_detector_1,725.49%,0.97%,1.11GB / 1.12GB
shirine_combiner_1,0.00%,0.12%,1.12GB / 979MB
shirine_extractor_1,0.17%,0.15%,4.72MB / 1.12GB
shirine_detector_1,458.29%,1.08%,1.13GB / 1.14GB
shirine_combiner_1,0.00%,0.11%,1.14GB / 992MB
shirine_extractor_1,0.25%,0.15%,4.74MB / 1.13GB
shirine_detector_1,798.67%,1.08%,1.14GB / 1.15GB
shirine_combiner_1,13.35%,0.11%,1.15GB / 1.01GB
shirine_extractor_1,0.14%,0.15%,4.76MB / 1.15GB
shirine_detector_1,381.64%,0.99%,1.16GB / 1.17GB
shirine_combiner_1,0.00%,0.10%,1.17GB / 1.02GB
shirine_extractor_1,0.25%,0.15%,4.79MB / 1.17GB
shirine_detector_1,680.70%,1.05%,1.17GB / 1.19GB
shirine_combiner_1,0.00%,0.12%,1.19GB / 1.04GB
shirine_extractor_1,0.17%,0.15%,4.81MB / 1.18GB
shirine_detector_1,794.81%,1.05%,1.19GB / 1.2GB
shirine_combiner_1,0.02%,0.11%,1.2GB / 1.05GB
shirine_extractor_1,0.14%,0.12%,4.82MB / 1.19GB
shirine_detector_1,0.00%,0.97%,1.19GB / 1.2GB
shirine_combiner_1,99.61%,0.12%,1.93GB / 1.05GB
shirine_extractor_1,0.12%,0.12%,4.82MB / 1.19GB
shirine_detector_1,0.00%,0.97%,1.19GB / 1.2GB
shirine_combiner_1,0.00%,0.11%,2.25GB / 1.08GB
shirine_extractor_1,0.06%,0.12%,4.82MB / 1.19GB
shirine_detector_1,0.00%,0.97%,1.19GB / 1.2GB
shirine_combiner_1,0.00%,0.11%,2.25GB / 1.08GB
