Container,CPU Usage,Memory Usage,Network Usage
shirine_combiner_1,0.24%,70.67MiB,979MB / 979MB
shirine_extractor_1,0.43%,109.22MiB,4.34MB / 981MB
shirine_detector_1,786.73%,764.52MiB,986MB / 993MB
shirine_combiner_1,0.25%,70.67MiB,995MB / 995MB
shirine_extractor_1,0.33%,109.22MiB,4.36MB / 992MB
shirine_detector_1,795.52%,751.68MiB,1GB / 1.01GB
shirine_combiner_1,0.28%,70.67MiB,1.01GB / 1.01GB
shirine_extractor_1,0.24%,109.22MiB,4.38MB / 1.01GB
shirine_detector_1,707.29%,777.37MiB,1.01GB / 1.02GB
shirine_combiner_1,0.22%,70.67MiB,1.02GB / 1.02GB
shirine_extractor_1,0.41%,109.22MiB,4.4MB / 1.02GB
shirine_detector_1,687.52%,764.52MiB,1.03GB / 1.04GB
shirine_combiner_1,10.42%,70.67MiB,1.04GB / 1.04GB
shirine_extractor_1,0.30%,109.22MiB,4.42MB / 1.04GB
shirine_detector_1,795.48%,815.92MiB,1.04GB / 1.05GB
shirine_combiner_1,10.72%,70.67MiB,1.14GB / 1.05GB
shirine_extractor_1,0.19%,96.37MiB,4.42MB / 1.04GB
shirine_detector_1,0.61%,880.17MiB,1.04GB / 1.05GB
shirine_combiner_1,99.21%,83.52MiB,1.83GB / 1.05GB
shirine_extractor_1,0.13%,96.37MiB,4.42MB / 1.04GB
shirine_detector_1,0.16%,880.17MiB,1.04GB / 1.05GB
shirine_combiner_1,0.10%,77.09MiB,2.1GB / 1.08GB
shirine_extractor_1,0.06%,96.37MiB,4.42MB / 1.04GB
shirine_detector_1,0.18%,880.17MiB,1.04GB / 1.05GB
shirine_combiner_1,0.09%,77.09MiB,2.1GB / 1.08GB
shirine_extractor_1,0.06%,96.37MiB,4.42MB / 1.04GB
shirine_detector_1,0.18%,880.17MiB,1.04GB / 1.05GB
shirine_combiner_1,0.00%,0.00MiB,0B / 0B
shirine_extractor_1,0.07%,96.37MiB,4.42MB / 1.04GB
shirine_detector_1,0.19%,880.17MiB,1.04GB / 1.05GB
