Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_combiner_1,0.04%,51.40MiB,382MB / 336MB
shirine_extractor_1,0.13%,89.94MiB,3.62MB / 389MB
shirine_detector_1,477.77%,758.10MiB,395MB / 397MB
shirine_combiner_1,0.03%,51.40MiB,399MB / 351MB
shirine_extractor_1,0.17%,89.94MiB,3.64MB / 406MB
shirine_detector_1,775.66%,725.98MiB,410MB / 411MB
shirine_combiner_1,11.78%,51.40MiB,417MB / 366MB
shirine_extractor_1,0.18%,89.94MiB,3.67MB / 423MB
shirine_detector_1,725.37%,790.22MiB,427MB / 429MB
shirine_combiner_1,0.03%,51.40MiB,431MB / 379MB
shirine_extractor_1,0.20%,89.94MiB,3.7MB / 441MB
shirine_detector_1,727.47%,725.98MiB,441MB / 446MB
shirine_combiner_1,0.04%,51.40MiB,449MB / 394MB
shirine_extractor_1,6.88%,89.94MiB,3.72MB / 455MB
shirine_detector_1,394.83%,770.95MiB,459MB / 461MB
shirine_combiner_1,7.23%,51.40MiB,463MB / 407MB
shirine_extractor_1,0.23%,89.94MiB,3.75MB / 472MB
shirine_detector_1,725.65%,725.98MiB,476MB / 479MB
shirine_combiner_1,0.03%,51.40MiB,481MB / 423MB
shirine_extractor_1,7.06%,96.37MiB,3.77MB / 490MB
shirine_detector_1,795.45%,681.01MiB,493MB / 496MB
shirine_combiner_1,0.02%,51.40MiB,498MB / 438MB
shirine_extractor_1,0.19%,89.94MiB,3.79MB / 504MB
shirine_detector_1,668.09%,661.73MiB,508MB / 511MB
shirine_combiner_1,0.02%,51.40MiB,513MB / 451MB
shirine_extractor_1,7.16%,89.94MiB,3.82MB / 521MB
shirine_detector_1,794.43%,681.01MiB,525MB / 528MB
shirine_combiner_1,0.03%,51.40MiB,531MB / 466MB
shirine_extractor_1,0.21%,89.94MiB,3.84MB / 536MB
shirine_detector_1,798.84%,681.01MiB,540MB / 543MB
shirine_combiner_1,0.02%,51.40MiB,548MB / 482MB
shirine_extractor_1,0.18%,89.94MiB,3.87MB / 550MB
shirine_detector_1,471.05%,783.80MiB,557MB / 560MB
shirine_combiner_1,0.03%,51.40MiB,563MB / 495MB
shirine_extractor_1,0.16%,89.94MiB,3.89MB / 567MB
shirine_detector_1,795.22%,777.37MiB,571MB / 575MB
shirine_combiner_1,0.02%,51.40MiB,577MB / 507MB
shirine_extractor_1,0.18%,89.94MiB,3.91MB / 582MB
shirine_detector_1,764.20%,770.95MiB,586MB / 590MB
shirine_combiner_1,0.02%,51.40MiB,595MB / 523MB
shirine_extractor_1,0.16%,89.94MiB,3.94MB / 599MB
shirine_detector_1,729.56%,758.10MiB,603MB / 607MB
shirine_combiner_1,0.02%,51.40MiB,609MB / 536MB
shirine_extractor_1,6.90%,89.94MiB,3.97MB / 616MB
shirine_detector_1,721.57%,783.80MiB,617MB / 622MB
shirine_combiner_1,0.02%,51.40MiB,624MB / 548MB
shirine_extractor_1,0.18%,89.94MiB,3.99MB / 631MB
shirine_detector_1,796.98%,764.52MiB,635MB / 639MB
shirine_combiner_1,0.03%,51.40MiB,641MB / 564MB
shirine_extractor_1,0.22%,89.94MiB,4.01MB / 645MB
shirine_detector_1,473.15%,764.52MiB,652MB / 657MB
shirine_combiner_1,0.02%,51.40MiB,659MB / 579MB
shirine_extractor_1,0.20%,89.94MiB,4.03MB / 659MB
shirine_detector_1,798.61%,822.35MiB,666MB / 671MB
shirine_combiner_1,0.03%,51.40MiB,673MB / 592MB
shirine_extractor_1,0.18%,89.94MiB,4.06MB / 677MB
shirine_detector_1,793.44%,758.10MiB,681MB / 686MB
shirine_combiner_1,0.02%,51.40MiB,688MB / 605MB
shirine_extractor_1,0.14%,89.94MiB,4.08MB / 691MB
shirine_detector_1,491.78%,758.10MiB,695MB / 701MB
shirine_combiner_1,11.95%,51.40MiB,706MB / 620MB
shirine_extractor_1,0.16%,96.37MiB,4.11MB / 708MB
shirine_detector_1,728.50%,770.95MiB,713MB / 718MB
shirine_combiner_1,0.02%,51.40MiB,720MB / 633MB
shirine_extractor_1,0.20%,89.94MiB,4.13MB / 723MB
shirine_detector_1,473.10%,758.10MiB,730MB / 736MB
shirine_combiner_1,0.02%,51.40MiB,738MB / 649MB
shirine_extractor_1,0.18%,89.94MiB,4.15MB / 737MB
shirine_detector_1,329.00%,751.68MiB,744MB / 750MB
shirine_combiner_1,0.02%,51.40MiB,753MB / 661MB
shirine_extractor_1,0.13%,89.94MiB,4.17MB / 752MB
shirine_detector_1,680.40%,751.68MiB,759MB / 765MB
shirine_combiner_1,0.03%,51.40MiB,767MB / 674MB
shirine_extractor_1,0.14%,89.94MiB,4.2MB / 769MB
shirine_detector_1,665.95%,732.40MiB,774MB / 780MB
shirine_combiner_1,0.02%,51.40MiB,782MB / 687MB
shirine_extractor_1,0.13%,89.94MiB,4.23MB / 787MB
shirine_detector_1,792.38%,732.40MiB,791MB / 798MB
shirine_combiner_1,0.03%,57.82MiB,800MB / 703MB
shirine_extractor_1,0.15%,89.94MiB,4.25MB / 801MB
shirine_detector_1,797.85%,738.83MiB,806MB / 812MB
shirine_combiner_1,0.02%,51.40MiB,817MB / 718MB
shirine_extractor_1,0.17%,89.94MiB,4.27MB / 815MB
shirine_detector_1,795.99%,738.83MiB,820MB / 827MB
shirine_combiner_1,11.79%,51.40MiB,832MB / 731MB
shirine_extractor_1,0.17%,89.94MiB,4.3MB / 830MB
shirine_detector_1,680.37%,758.10MiB,834MB / 841MB
shirine_combiner_1,12.13%,51.40MiB,846MB / 744MB
shirine_extractor_1,0.21%,96.37MiB,4.32MB / 847MB
shirine_detector_1,561.48%,725.98MiB,852MB / 859MB
shirine_combiner_1,0.03%,51.40MiB,861MB / 757MB
shirine_extractor_1,0.22%,89.94MiB,4.34MB / 862MB
shirine_detector_1,688.67%,725.98MiB,867MB / 877MB
shirine_combiner_1,0.04%,51.40MiB,879MB / 773MB
shirine_extractor_1,0.21%,89.94MiB,4.37MB / 878MB
shirine_detector_1,796.43%,725.98MiB,883MB / 891MB
shirine_combiner_1,0.02%,51.40MiB,897MB / 788MB
shirine_extractor_1,0.20%,96.37MiB,4.39MB / 898MB
shirine_detector_1,626.24%,725.98MiB,900MB / 908MB
shirine_combiner_1,0.03%,51.40MiB,907MB / 796MB
shirine_extractor_1,0.19%,96.37MiB,4.4MB / 901MB
shirine_detector_1,398.95%,770.95MiB,903MB / 911MB
shirine_combiner_1,0.02%,51.40MiB,913MB / 802MB
shirine_extractor_1,0.23%,96.37MiB,4.41MB / 909MB
shirine_detector_1,318.80%,764.52MiB,910MB / 918MB
shirine_combiner_1,0.03%,51.40MiB,917MB / 805MB
shirine_extractor_1,0.20%,96.37MiB,4.41MB / 913MB
shirine_detector_1,334.94%,725.98MiB,914MB / 922MB
shirine_combiner_1,0.03%,51.40MiB,925MB / 812MB
shirine_extractor_1,0.20%,96.37MiB,4.42MB / 922MB
shirine_detector_1,385.53%,725.98MiB,924MB / 931MB
shirine_combiner_1,0.03%,51.40MiB,930MB / 816MB
shirine_extractor_1,0.20%,96.37MiB,4.43MB / 926MB
shirine_detector_1,259.28%,725.98MiB,928MB / 935MB
shirine_combiner_1,0.03%,51.40MiB,939MB / 823MB
